PoleIndex,RealPart_1ps,ImagPart_radps,Magnitude
1,-19.1488081931742,19.7450727505234,27.5053586259557
2,-19.1488081931742,-19.7450727505234,27.5053586259557
3,-24.1202900202939,25.1773322143624,34.8666953997
4,-24.1202900202939,-25.1773322143624,34.8666953997
5,-57.8614667176642,155.837222990172,166.232335602938
6,-57.8614667176642,-155.837222990172,166.232335602938
7,-54.3727653348363,165.743743942324,174.434475566546
8,-54.3727653348363,-165.743743942324,174.434475566546
9,-53.5875107070859,153.294647093982,162.391102377718
10,-53.5875107070859,-153.294647093982,162.391102377718
11,-53.4479700642723,166.382274264316,174.756249368534
12,-53.4479700642723,-166.382274264316,174.756249368534
13,-51.4335702029253,10.1472173939194,52.424976534651
14,-51.4335702029253,-10.1472173939194,52.424976534651
