QScale,RScale,MaxClosedLoopRealPart,Stable,GainNorm
0.5,1,-33.8589226760656,1,1206501.89807503
0.5,2,-25.5335277993902,1,784356.953791893
0.5,4,-19.1488081931741,1,497476.835690414
0.5,8,-14.3927465806007,1,306714.624649577
1,1,-31.3307846953981,1,1818740.68281663
1,2,-33.8589226760657,1,1206501.89807504
1,4,-25.5335277993901,1,784356.953791896
1,8,-19.1488081931742,1,497476.835690412
2,1,-27.698770349571,1,2698436.82273057
2,2,-31.3307846953986,1,1818740.68281663
2,4,-33.8589226760656,1,1206501.89807503
2,8,-25.53352779939,1,784356.953791893
4,1,-26.4645063897886,1,3954733.76528634
4,2,-27.6987703495712,1,2698436.82273057
4,4,-31.3307846953984,1,1818740.68281663
4,8,-33.8589226760656,1,1206501.89807503
