Gain_Nsm,peakHeave,peakPitch,rmsHeaveAccel,rmsPitchAccel,settlingTime,peakForce,meanRMSForce,maxSaturation,heaveImprovement,pitchImprovement,heaveAccelImprovement,pitchAccelImprovement,settlingImprovement
500,2.22230860767609,0.147066623326353,0.940215927809942,55.3260136812782,1.947,159.729607673013,10.1529263362616,0,7.33441139355164,10.2546163024451,0.0792284481280947,0.951719774471315,7.54985754985754
1000,2.06610300655581,0.134554293710001,0.939139140874367,54.992838339527,1.798,320.128273976653,19.1548121464173,0,13.8478559806074,17.8900933194019,0.193663205312264,1.54819225492351,14.624881291548
1500,1.92584032506663,0.124828256131926,0.937770995534027,54.7413489921549,1.781,478.998798782763,27.5470290590861,0,19.696514395923,23.8252739508644,0.339061867426336,1.99842507841501,15.4320987654321
2000,1.94180281705353,0.117080651650858,0.936232420863952,54.5279207681011,1.647,634.651638436457,35.5443303933837,0,19.0309120981672,28.5531430020727,0.502572783990109,2.38051836758459,21.7948717948718
2500,2.01978876303154,0.110610685443437,0.934614477963504,54.3342884404104,1.639,787.17258597027,43.2506038447711,0,15.7790623946105,32.5013508731863,0.674518502157436,2.7271717369077,22.1747388414055
3000,2.0747695182777,0.105027253874738,0.932975279244826,54.152253250542,1.618,935.095644699969,50.7258534187023,0,13.4864806940697,35.9085631770277,0.84872316712055,3.05306314489625,23.1718898385565
4000,2.1362693100703,0.0959485115512398,0.92975848069887,53.8091175183154,1.51,1216.09399196989,65.133126252609,0,10.9220688990785,41.4487407841893,1.19058611916347,3.6673673735863,28.3000949667616
5000,2.15293136171521,0.0885528165959981,0.926715676083509,53.4838409294701,1.501,1477.49610896846,78.982341974753,0,10.2272964369041,45.9618618884617,1.51395799136386,4.2496989854093,28.7274453941121
6000,2.14335647228271,0.0824745889587989,0.923877495176121,53.1701578482912,1.397,1720.69563487039,92.4077888335102,0,10.6265491608686,49.6710166862232,1.81558362615873,4.81127513484225,33.6657169990503
8000,2.08144341933886,0.072750949856676,0.918777404966557,52.5627568983564,1.504,2159.04768809474,118.305153183167,0,13.2081930755107,55.6047336807318,2.35759204534265,5.89868439307984,28.5849952516619
